,product_id,product_name,seo_name,desc_short,desc_long,color,item_no,master_model,parent,cat_id_fk,list,cost,price,ws_price,ex_price,weight_lbs,shipable,size,size_ln,size_wt,size_ht,inv_stocked,inv_eastorange,inv_orange,inv_processing,inv_ordered,inv_ordered_expect,img_small,img_large,supplier,ext_domain,featured,enabled,creation,modified,inv_mod,mod_by,product_assoc,alt_length,alt_width,alt_height,ship_length,ship_width,ship_height,nominal_length,nominal_width,nominal_height,product_relatives,meta_title,meta_keywords,add_keywords,meta_description,display_size_2,free_shipping,special_shipping,amount_per_box,class
426,444,Fence Slats Winged,fence-slats-winged,,,,AFCFSW,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,0.0,0,0,,0.0,,,,,,0.0,1.0,2010-03-29 06:27:51,2010-03-29 06:27:51,0000-00-00,,,,,,,,,,,,,,,,,,0.0,0.0,,AFCSLT
427,445,Fence Slats Hedge,fence-slats-hedge,,,,AFCFSH,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,0.0,0,0,,0.0,,,,,,0.0,1.0,2010-03-29 06:29:12,2010-03-29 06:29:12,0000-00-00,,,,,,,,,,,,,,,,,,0.0,0.0,,AFCSLT
428,446,Winged Fence Slats Inserts,winged-fence-slats-inserts-4ft-h-for-2in-mesh-slat-width-1-7/16in-brown,,,Brown,PVTW4BR,0.0,AFCFSW4,,39.42,26.5,40.0,0.0,0.0,12.0,1,4ft H for 2in Mesh,,2,48,45.0,26,19,,0.0,,,,,,0.0,1.0,2010-03-29 07:34:24,2010-03-29 07:34:24,2012-08-10,,,,,,12,12,50,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
429,447,Winged Fence Slats Inserts,winged-fence-slats-inserts-4ft-h-for-2in-mesh-slat-width-1-7/16in-green,,,Green,PVTW4GR,0.0,AFCFSW4,,39.42,26.5,40.0,0.0,0.0,12.0,1,4ft H for 2in Mesh,,2,48,-15.0,50,-65,,0.0,,,,,,0.0,0.0,2010-03-29 07:36:08,2010-03-29 07:36:08,2012-08-10,,,,,,12,12,50,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
430,448,Winged Fence Slats Inserts,winged-fence-slats-inserts-4ft-h-for-2in-mesh-slat-width-1-7/16in-tan,,,Tan,PVTW4TN,0.0,AFCFSW4,,39.42,26.5,40.0,0.0,0.0,12.0,1,4ft H for 2in Mesh,,2,48,12.0,0,12,,0.0,,,,,,0.0,1.0,2010-03-29 07:38:01,2010-03-29 07:38:01,2012-08-10,,,,,,12,12,50,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
431,449,Winged Fence Slats Inserts,winged-fence-slats-inserts-4ft-h-for-2in-mesh-slat-width-1-7/16in-redwood,,,Redwood,PVTW4RW,0.0,AFCFSW4,,39.42,26.5,40.0,0.0,0.0,12.0,1,4ft H for 2in Mesh,,2,48,27.0,0,27,,0.0,,,,,,0.0,1.0,2010-03-29 07:40:04,2010-03-29 07:40:04,2012-08-10,,,,,,12,12,50,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
432,450,Winged Fence Slats Inserts,winged-fence-slats-inserts-4ft-h-for-2in-mesh-slat-width-1-7/16in-gray,,,Gray,PVTW4G,0.0,AFCFSW4,,39.42,26.5,40.0,0.0,0.0,12.0,1,4ft H for 2in Mesh,,2,48,27.0,0,27,,0.0,,,,,,0.0,1.0,2010-03-29 07:41:44,2010-03-29 07:41:44,2012-08-10,,,,,,12,12,50,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
433,451,Winged Fence Slats Inserts,winged-fence-slats-inserts-4ft-h-for-2in-mesh-slat-width-1-7/16in-black,,,Black,PVTW4BK,0.0,AFCFSW4,,39.42,26.5,40.0,0.0,0.0,12.0,1,4ft H for 2in Mesh,,2,48,49.0,50,-1,,0.0,,,,,,0.0,1.0,2010-03-29 07:42:52,2010-03-29 07:42:52,2012-08-10,,,,,,12,12,50,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
434,452,Winged Fence Slats Inserts,winged-fence-slats-inserts-4ft-h-for-2in-mesh-slat-width-1-7/16in-light-blue,,,Light Blue,PVTW4LB,0.0,AFCFSW4,,39.42,26.5,40.0,0.0,0.0,12.0,1,4ft H for 2in Mesh,,2,48,0.0,0,0,,0.0,,,,,,0.0,1.0,2010-03-29 07:43:58,2010-03-29 07:43:58,0000-00-00,,,,,,12,12,50,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
435,453,Winged Fence Slats Inserts,winged-fence-slats-inserts-5ft-h-for-2in-mesh-slat-width-1-7/16in-green,,,Green,PVTW5GR,0.0,AFCFSW5,,47.79,32.5,48.0,0.0,0.0,15.0,1,5ft H for 2in Mesh,,2,60,-5.0,0,-5,,0.0,,,,,,0.0,0.0,2010-03-29 07:46:02,2010-03-29 07:46:02,2012-08-10,,,,,,12,12,62,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
436,454,Winged Fence Slats Inserts,winged-fence-slats-inserts-5ft-h-for-2in-mesh-slat-width-1-7/16in-brown,,,Brown,PVTW5BR,0.0,AFCFSW5,,47.79,32.5,48.0,0.0,0.0,15.0,1,5ft H for 2in Mesh,,2,60,71.0,50,21,,0.0,,,,,,0.0,1.0,2010-03-29 07:47:17,2010-03-29 07:47:17,2012-08-10,,,,,,12,12,62,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
437,455,Winged Fence Slats Inserts,winged-fence-slats-inserts-5ft-h-for-2in-mesh-slat-width-1-7/16in-tan,,,Tan,PVTW5TN,0.0,AFCFSW5,,47.79,32.5,48.0,0.0,0.0,15.0,1,5ft H for 2in Mesh,,2,60,25.0,0,25,,0.0,,,,,,0.0,1.0,2010-03-29 07:48:33,2010-03-29 07:48:33,2012-07-14,,,,,,12,12,62,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
438,456,Winged Fence Slats Inserts,winged-fence-slats-inserts-5ft-h-for-2in-mesh-slat-width-1-7/16in-redwood,,,Redwood,PVTW5RW,0.0,AFCFSW5,,47.79,32.5,48.0,0.0,,15.0,1,5ft H for 2in Mesh,,,,-3.0,0,-3,,0.0,,,,,,,0.0,2010-03-29 07:49:24,2014-04-28 14:10:38,2012-08-10,3.0,,,,,8,8,62,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
439,457,Winged Fence Slats Inserts,winged-fence-slats-inserts-5ft-h-for-2in-mesh-slat-width-1-7/16in-gray,,,Gray,PVTW5G,0.0,AFCFSW5,,47.79,32.5,48.0,0.0,0.0,15.0,1,5ft H for 2in Mesh,,2,60,22.0,0,22,,0.0,,,,,,0.0,1.0,2010-03-29 07:50:30,2010-03-29 07:50:30,2012-08-10,,,,,,12,12,62,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
440,458,Winged Fence Slats Inserts,winged-fence-slats-inserts-5ft-h-for-2in-mesh-slat-width-1-7/16in-black,,,Black,PVTW5BK,0.0,AFCFSW5,,47.79,32.5,48.0,0.0,0.0,15.0,1,5ft H for 2in Mesh,,2,60,-27.0,55,-82,,0.0,,,,,,0.0,0.0,2010-03-29 07:51:18,2010-03-29 07:51:18,2012-08-10,,,,,,12,12,62,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
441,459,Winged Fence Slats Inserts,winged-fence-slats-inserts-5ft-h-for-2in-mesh-slat-width-1-7/16in-light-blue,,,Light Blue,PVTW5LB,0.0,AFCFSW5,,47.79,32.5,48.0,0.0,0.0,15.0,1,5ft H for 2in Mesh,,2,60,0.0,0,0,,0.0,,,,,,0.0,1.0,2010-03-29 07:52:05,2010-03-29 07:52:05,0000-00-00,,,,,,12,12,62,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
