original_product_id,product_details_id,product_id,size1,size2,size3,style,speciality,material,spacing,color,coating,family_category_id
35802,NULL,NULL,60 in. x 100 ft.,1 1/2 in. x 4 in.,12.5 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
35803,NULL,NULL,72 in. x 100 ft.,1 1/2 in. x 4 in.,12.5 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
35805,NULL,NULL,24 in. x 50 ft.,1 in. x 1 in.,16 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
35806,NULL,NULL,24 in. x 100 ft.,1 in. x 1 in.,16 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
35818,NULL,NULL,36 in. x 100 ft.,2 in. x 4 in.,11 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
35820,NULL,NULL,28 in. x 100 ft.,2 in. x 4 in.,11 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
35839,NULL,NULL,48 in.  x 100 ft.,2 in. x 4 in.,11 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
36934,NULL,NULL,48 in. x 50 ft.,1 in. x 1 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
42660,NULL,NULL,48 in. x 100 ft.,1 in. x 1 in.,13.5 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
43054,NULL,NULL,48 in. x 100 ft.,2 in. x 2 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
43055,NULL,NULL,72 in. x 100 ft.,2 in. x 2 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
43058,NULL,NULL,48 in. x 50 ft.,1/2 in. x 1 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
43060,NULL,NULL,36 in. x 50 ft.,1/2 in. x 1 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
43062,NULL,NULL,24 in. x 100 ft.,2 in. x 4 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
43069,NULL,NULL,24 in. x 100 ft.,1 in. x 2 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
43070,NULL,NULL,72 in. x 100 ft.,1 in. x 2 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
43725,NULL,NULL,49 in. x 100 ft.,1 3/4 in. x 1 3/4 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
43731,NULL,NULL,72 in. x 100 ft.,2 in. x 4 in.,12.5 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
43742,NULL,NULL,48 in. x 100  ft.,2 in. x 4 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
43743,NULL,NULL,60 in. x 100 ft.,2 in. x 4 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
43744,NULL,NULL,72 in. x 100 ft.,2 in. x 4 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
43746,NULL,NULL,36 in. x 300 ft.,3 in. x 3 in.,12.5 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
43747,NULL,NULL,48 in. x 100 ft.,2 in. x 2 in.,10.5 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
43748,NULL,NULL,36 in. x 50 ft.,1/2 in. x 1 in.,16 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,NULL,High Quality Vinyl PVC,2
43749,NULL,NULL,48 in. x 50 ft.,1/2 in. x 1 in.,16 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
43757,NULL,NULL,48 in. x 100 ft.,2 in. x 2 in.,12.5 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
43759,NULL,NULL,48 in. x 100  ft.,2 in. x 4 in.,11 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
43765,NULL,NULL,48 in. x 100 ft.,4 in. x 4 in.,11 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
