product_details_id,original_product_id,family_category_id,product_id,size1,size2,size3,style,specialty,material,spacing,color,coating
NULL,2379,17,NULL,3 ft. H x 8 ft. W,NULL,NULL,Concave,Gothic Point,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2380,17,NULL,3 1/2 ft. H x 8 ft. W,NULL,NULL,Concave,Gothic Point,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2381,17,NULL,4 ft. H x 8 ft. W,NULL,NULL,Concave,Gothic Point,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2382,17,NULL,4 1/2 ft. H x 8 ft. W,NULL,NULL,Concave,Gothic Point,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2383,17,NULL,5 ft. H x 8 ft. W,NULL,NULL,Concave,Gothic Point,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2384,17,NULL,6 ft. H x 8 ft. W,NULL,NULL,Concave,Gothic Point,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2385,17,NULL,7 ft. H x 8 ft. W,NULL,NULL,Concave,Gothic Point,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2386,17,NULL,8 ft. H x 8 ft. W,NULL,NULL,Concave,Gothic Point,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2387,17,NULL,3 ft. H x 8 ft. W,NULL,NULL,Convex,Gothic Point,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2388,17,NULL,3 1/2 ft. H x 8 ft. W,NULL,NULL,Convex,Gothic Point,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2389,17,NULL,4 ft. H x 8 ft. W,NULL,NULL,Convex,Gothic Point,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2390,17,NULL,4 1/2 ft. H x 8 ft. W,NULL,NULL,Convex,Gothic Point,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2391,17,NULL,5 ft. H x 8 ft. W,NULL,NULL,Convex,Gothic Point,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2392,17,NULL,6 ft. H x 8 ft. W,NULL,NULL,Convex,Gothic Point,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2393,17,NULL,7 ft. H x 8 ft. W,NULL,NULL,Convex,Gothic Point,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2394,17,NULL,8 ft. H x 8 ft. W,NULL,NULL,Convex,Gothic Point,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2395,17,NULL,3 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Knob Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2396,17,NULL,3 1/2 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Knob Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2397,17,NULL,4 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Knob Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
